model,signal,prediction,task,weight,n_runs,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw
PPO,Ordinal,Regression,Maximize,0.0,5,20.2,7.0458,0.2662,0.0361,"[24.0, 24.0, 14.0, 25.0, 14.0]","[0.28048927447349004, 0.27508327134846094, 0.24341677396240394, 0.30184099302709066, 0.23009138353307332]"
PPO,Ordinal,Regression,Maximize,0.5,5,13.0,11.8447,0.2569,0.0365,"[24.0, 20.0, 6.0, 14.0, 1.0]","[0.2897211627689345, 0.2850336809978406, 0.22708418461614874, 0.2311655146122304, 0.2514363834634423]"
PPO,Ordinal,Regression,Maximize,1.0,5,16.4,8.6293,0.2602,0.0465,"[20.0, 20.0, 19.0, 4.0, 19.0]","[0.3006675003890155, 0.24890045258537344, 0.2797874873739324, 0.20204262977698814, 0.269532680801165]"
PPO,Ordinal,Regression,Minimize,0.5,5,19.4,4.9355,0.3207,0.0427,"[17.0, 14.0, 22.0, 20.0, 24.0]","[0.3690625348260735, 0.3182791457178869, 0.30278045558539984, 0.277877222398503, 0.33566623827093295]"
PPO,Ordinal,Regression,Minimize,1.0,5,13.2,5.3694,0.2812,0.0524,"[12.0, 14.0, 14.0, 7.0, 19.0]","[0.22953163069248958, 0.27193055842989194, 0.2593971589824953, 0.3377035618001329, 0.3075918261069608]"
DQN,Raw,Classification,Maximize,0.5,5,19.8,11.6941,0.6249,0.4344,"[25.0, 3.0, 24.0, 23.0, 24.0]","[0.8, 0.0, 0.7916666666666666, 0.782608695652174, 0.75]"
DQN,Raw,Classification,Maximize,1.0,5,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]"
DQN,Raw,Classification,Minimize,0.0,5,24.4,1.1106,0.2462,0.0115,"[25.0, 23.0, 24.0, 25.0, 25.0]","[0.24, 0.2608695652173913, 0.25, 0.24, 0.24]"
DQN,Raw,Classification,Minimize,0.5,5,15.4,11.0919,0.5723,0.4919,"[22.0, 6.0, 25.0, 6.0, 18.0]","[0.2727272727272727, 1.0, 0.2, 1.0, 0.3888888888888889]"
DQN,Raw,Classification,Minimize,1.0,5,6.0,0.0,0.9667,0.0925,"[6.0, 6.0, 6.0, 6.0, 6.0]","[0.8333333333333334, 1.0, 1.0, 1.0, 1.0]"
DQN,Raw,Regression,Maximize,0.5,5,23.8,2.6919,0.2627,0.0405,"[20.0, 24.0, 25.0, 25.0, 25.0]","[0.20906674322968713, 0.25407870371006774, 0.2805762172482908, 0.28594678837768733, 0.28377052391059704]"
DQN,Raw,Regression,Maximize,1.0,5,19.4,4.6126,0.2849,0.0738,"[24.0, 14.0, 18.0, 20.0, 21.0]","[0.27690268872655, 0.23541998749746687, 0.2361736955382021, 0.29555594601484014, 0.3805030695681593]"
DQN,Raw,Regression,Minimize,0.0,5,25.0,0.0,0.2649,0.0544,"[25.0, 25.0, 25.0, 25.0, 25.0]","[0.22949208130305462, 0.2251061565965414, 0.33424100588564243, 0.2668509822960943, 0.2690562966191934]"
DQN,Raw,Regression,Minimize,0.5,5,16.8,12.273,0.2933,0.0879,"[23.0, 25.0, 24.0, 6.0, 6.0]","[0.2300611692828977, 0.25811110178824104, 0.24297159730961235, 0.34340470003179085, 0.3920763628122707]"
DQN,Raw,Regression,Minimize,1.0,5,9.4,9.4399,0.3043,0.0576,"[23.0, 6.0, 6.0, 6.0, 6.0]","[0.2312558166931523, 0.3010718180426231, 0.31573483501560984, 0.31372071324295747, 0.3595690223481507]"
DQN,Ordinal,Classification,Maximize,0.5,5,13.8,11.628,0.7755,0.197,"[25.0, 1.0, 8.0, 18.0, 17.0]","[0.88, 1.0, 0.625, 0.6666666666666666, 0.7058823529411765]"
DQN,Ordinal,Classification,Maximize,1.0,5,10.2,4.9976,0.7152,0.2074,"[11.0, 14.0, 6.0, 6.0, 14.0]","[0.9090909090909091, 0.6428571428571429, 0.5, 0.6666666666666666, 0.8571428571428571]"
DQN,Ordinal,Classification,Minimize,0.0,5,17.2,12.7051,0.4883,0.4923,"[6.0, 6.0, 24.0, 25.0, 25.0]","[0.8333333333333334, 1.0, 0.20833333333333334, 0.16, 0.24]"
DQN,Ordinal,Classification,Minimize,0.5,5,11.0,12.5094,0.3057,0.31,"[0.0, 9.0, 4.0, 25.0, 17.0]","[0, 0.6666666666666666, 0.25, 0.2, 0.4117647058823529]"
DQN,Ordinal,Classification,Minimize,1.0,5,2.4,3.1166,0.7,0.5553,"[0.0, 1.0, 1.0, 4.0, 6.0]","[0, 1.0, 1.0, 0.5, 1.0]"
