[control]player_id,Cluster
772BA0E9-AC30-CEA6-AA1B-18A0300702AA,4.0
77F6B31E-B228-3C6D-A66F-E7E6FDED3587,2.0
7B8B31F4-FFC3-7A4E-3EAF-78D5CA8ACB61,2.0
7DC9729F-BA27-3831-6078-F8508766396A,3.0
7FB7C50A-30EA-A991-0C04-7FFA681B8803,3.0
8322EDEF-4C09-318A-1B7E-56D62A6839AD,2.0
8407F9C4-C295-8C95-C281-584AF2118F84,3.0
85748DC9-A6DA-334D-6422-BF69EE06A98C,3.0
862DB2BA-55C9-5794-03BC-FBBA3BEE80C7,3.0
8690E8B6-9B41-5F0E-C518-8F2D028C6690,3.0
874A6B13-C999-C802-1138-FA198591D897,3.0
9268F759-54B0-96CC-C0F5-9D8DBAA12073,1.0
96B78431-4166-E4D3-2AA2-15BE2512E1D6,3.0
99C0C5AE-01AD-1BB2-A36B-74B166CB26BA,2.0
9A80CFF4-085D-6435-BA08-18E6496A8381,2.0
9C694EBE-9421-F45A-ED92-F521991A6A52,4.0
9E6EBCE2-44FB-8F07-4135-E91140B34096,3.0
A135AF2A-692D-9C83-AB54-34F977E4D14D,3.0
A7C426E7-344F-99F4-6E35-453AF3AD9C2C,3.0
AB9921A8-F143-E101-6A47-E66882F571B2,4.0
B06410CC-D778-33B2-B1FD-A828EE4AF413,1.0
B0AAFE06-91C2-2C6D-4547-7508BB719E45,2.0
B2EE7EC5-4E5B-EBDD-E0EB-AF758B95C36A,1.0
B3CE5256-6F65-85EB-0078-689BD5CC1B17,1.0
B6EE5F90-8F59-D3CF-C449-59216B28207B,2.0
B9FD0C60-33D3-E99E-2475-815EAD5C89C2,2.0
BAAA2876-D490-2AB5-0A98-6EB94C7FC331,3.0
BC7EE230-0AF9-3AC5-24E5-8EC4B0B432A8,3.0
BD35F47E-4F73-8664-B165-98D2BF2CDA48,4.0
C0ABDBF6-67EF-EA64-A2D1-42FA92BD5713,1.0
C24A665A-6B67-FDEA-04A4-C2DA3AF79D51,1.0
C5DC661F-E2D6-2B65-4765-77C8B81D2488,2.0
C8BB6C15-19FA-A17A-5945-6202803016D7,2.0
CCA3ABC5-DCCE-0BBE-5327-E65AE52A195D,1.0
CD5833CD-93D3-318C-371A-18A32DEFC38B,3.0
D0F7ABC0-F552-63CD-CAC6-6703C39B83CA,3.0
D51A5648-0039-8CB1-45CB-C51E5ABA8BCC,4.0
D6D11A63-A131-4E74-041D-6E3BD8EFF8FF,3.0
DA2856BC-D181-9AF0-DC9A-99A9444D5579,3.0
DBA0C8C4-AE05-772F-2E53-E6167F8ACB77,2.0
DC0BE0E2-B41E-3D73-47C5-5733952512CB,3.0
DCB45A10-FAF5-53E0-AB53-2D42AC9BB090,4.0
DD956DE9-DEFB-C0C6-82B4-C639A17D6782,3.0
DE775A65-68D5-C477-E2F7-BCC1AEF0B850,3.0
DF62EF03-DA30-E70A-CA31-03A029C9610A,3.0
E3489F9E-39E2-47B9-24EF-BAACE1438D00,2.0
E49C1269-8AB7-8C8F-FC88-AA92C2F1E260,2.0
E5CCE6B3-2C6E-BE96-602F-3852C8614777,4.0
E5F96AC5-AE7E-C4E8-8288-FB2674F43704,4.0
EA788550-E907-E4AC-EAE4-82CC26723E3B,2.0
EC6E2525-212C-1C3A-0B73-74D1B45748E1,3.0
EE62AFCD-B47D-E676-0257-21F92CB612D8,3.0
F1430977-52AF-4F46-BF92-0A8D736CBD2B,1.0
F752B62E-E95F-A65D-4CB2-8B0252E15F08,2.0
FB3409F8-2ADE-757A-A1A5-DC1BBBD1131A,2.0
FB70D507-2F2A-0F83-3B53-75EB8452F5E0,3.0
FC66D29E-8CD8-AE29-A071-33549272C1EE,3.0
FFAB0F54-EFF2-FA1A-1892-F9D8ED3C9B31,3.0
